# Unified Canadian Aboriginal Syllabics 1400 - 167F
1542	canadiansyllabicsre	CANADIAN SYLLABICS RE
1543	canadiansyllabicsrcreere	CANADIAN SYLLABICS R-CREE RE
1544	canadiansyllabicswestcreele	CANADIAN SYLLABICS WEST-CREE LE
1545	canadiansyllabicsraai	CANADIAN SYLLABICS RAAI
1546	canadiansyllabicsri	CANADIAN SYLLABICS RI
1547	canadiansyllabicsrii	CANADIAN SYLLABICS RII
1548	canadiansyllabicsro	CANADIAN SYLLABICS RO
1549	canadiansyllabicsroo	CANADIAN SYLLABICS ROO
154A	canadiansyllabicswestcreelo	CANADIAN SYLLABICS WEST-CREE LO
154B	canadiansyllabicsra	CANADIAN SYLLABICS RA
154C	canadiansyllabicsraa	CANADIAN SYLLABICS RAA
154D	canadiansyllabicswestcreela	CANADIAN SYLLABICS WEST-CREE LA
154E	canadiansyllabicsrwaa	CANADIAN SYLLABICS RWAA
154F	canadiansyllabicswestcreerwaa	CANADIAN SYLLABICS WEST-CREE RWAA
1550	canadiansyllabicsr	CANADIAN SYLLABICS R
1551	canadiansyllabicswestcreer	CANADIAN SYLLABICS WEST-CREE R
1552	canadiansyllabicsmedialr	CANADIAN SYLLABICS MEDIAL R
1553	canadiansyllabicsfe	CANADIAN SYLLABICS FE
1554	canadiansyllabicsfaai	CANADIAN SYLLABICS FAAI
1555	canadiansyllabicsfi	CANADIAN SYLLABICS FI
1556	canadiansyllabicsfii	CANADIAN SYLLABICS FII
1557	canadiansyllabicsfo	CANADIAN SYLLABICS FO
1558	canadiansyllabicsfoo	CANADIAN SYLLABICS FOO
1559	canadiansyllabicsfa	CANADIAN SYLLABICS FA
155A	canadiansyllabicsfaa	CANADIAN SYLLABICS FAA
155B	canadiansyllabicsfwaa	CANADIAN SYLLABICS FWAA
155C	canadiansyllabicswestcreefwaa	CANADIAN SYLLABICS WEST-CREE FWAA
155D	canadiansyllabicsf	CANADIAN SYLLABICS F
155E	canadiansyllabicsthe	CANADIAN SYLLABICS THE
155F	canadiansyllabicsncreethe	CANADIAN SYLLABICS N-CREE THE
1560	canadiansyllabicsthi	CANADIAN SYLLABICS THI
1561	canadiansyllabicsncreethi	CANADIAN SYLLABICS N-CREE THI
1562	canadiansyllabicsthii	CANADIAN SYLLABICS THII
1563	canadiansyllabicsncreethii	CANADIAN SYLLABICS N-CREE THII
1564	canadiansyllabicstho	CANADIAN SYLLABICS THO
1565	canadiansyllabicsthoo	CANADIAN SYLLABICS THOO
1566	canadiansyllabicstha	CANADIAN SYLLABICS THA
1567	canadiansyllabicsthaa	CANADIAN SYLLABICS THAA
1568	canadiansyllabicsthwaa	CANADIAN SYLLABICS THWAA
1569	canadiansyllabicswestcreethwaa	CANADIAN SYLLABICS WEST-CREE THWAA
156A	canadiansyllabicsth	CANADIAN SYLLABICS TH
156B	canadiansyllabicstthe	CANADIAN SYLLABICS TTHE
156C	canadiansyllabicstthi	CANADIAN SYLLABICS TTHI
156D	canadiansyllabicsttho	CANADIAN SYLLABICS TTHO
156E	canadiansyllabicsttha	CANADIAN SYLLABICS TTHA
156F	canadiansyllabicstth	CANADIAN SYLLABICS TTH
1570	canadiansyllabicstye	CANADIAN SYLLABICS TYE
1571	canadiansyllabicstyi	CANADIAN SYLLABICS TYI
1572	canadiansyllabicstyo	CANADIAN SYLLABICS TYO
1573	canadiansyllabicstya	CANADIAN SYLLABICS TYA
1574	canadiansyllabicsnunavikhe	CANADIAN SYLLABICS NUNAVIK HE
1575	canadiansyllabicsnunavikhi	CANADIAN SYLLABICS NUNAVIK HI
1576	canadiansyllabicsnunavikhii	CANADIAN SYLLABICS NUNAVIK HII
1577	canadiansyllabicsnunavikho	CANADIAN SYLLABICS NUNAVIK HO
1578	canadiansyllabicsnunavikhoo	CANADIAN SYLLABICS NUNAVIK HOO
